Species,Site,Age,Height_in,Canopy_area_in2,Total_Fruit_No,HV_m2_cm2,WD,Ks,KL_Units,TotalAssim,BW_dry_avg,Photo,Trmmol,Cond,WUE_Intrinsic,Thick_cm,Area_cm2,LMA_g.cm2,LWR,LD_g.cm3,Length_mm_Top,Density_mm2_Top,SPI_Top,WUE_Instantaneous
PRRE,Cederberg,9,54,1529.170224,55,1.066078,0.597029183,0.345439562,3.24E-05,189248.7484,0.722,17.75186504,2.377700143,0.236954867,74.91665086,0.053316667,4.586685,0.030959179,13.47021071,0.580666061,0.051666667,43.48925193,0.116092142,7.465981399
PRRE,Cederberg,8,52,1845.685684,45,0.783885,0.568075909,0.337315868,4.31E-05,126433.5837,0.8765,16.15277944,8.99482395,1.017133682,15.88068484,0.052266667,6.240045,0.032531817,12.97884351,0.622419964,0.0525,46.1090864,0.127088169,1.795786058
PRRE,Cederberg,7,53,1806.415776,55,0.989666,0.555385164,0.509590304,5.16E-05,185897.4821,1.034,18.81185689,8.390525161,0.660722618,28.47164056,0.0559,6.195095,0.03107297,15.05891089,0.555867084,0.054166667,38.77354991,0.113762672,2.242035693
PRRE,Cederberg,7,43,1095.630438,29,0.91552,0.544490615,0.344256449,3.76E-05,169853.7496,0.9015,18.55271469,3.931840506,0.261518118,70.94236847,0.047933333,4.867985,0.029067468,11.86882013,0.606414497,0.054166667,39.82148371,0.116837339,4.718582725
PRRE,Cederberg,10,55,2409.601565,29,1.042791,0.56460773,0.395556433,3.79E-05,177121.5649,1.1415,16.98533271,3.572651485,0.234448204,72.44812466,0.048866667,8.49508,0.032960255,7.803021414,0.674493618,0.055,35.62974857,0.107779989,4.754265223
PRRE,Cederberg,8,67,3251.548396,67,1.302518,0.596176284,0.408587685,3.14E-05,208179.1196,0.9905,16.00067623,5.003946395,0.554890804,28.83572068,0.0427,7.54636,0.033526097,12.12184042,0.785154496,0.055,40.86941749,0.123629988,3.197611438
PRRE,Cederberg,7,52,1300.619359,31,0.892149,0.648232908,0.20224247,2.27E-05,135133.4145,0.85,15.14696161,3.93696919,0.252304194,60.0345217,0.043366667,7.4797,0.029680335,11.84764123,0.684404338,0.053333333,41.91735126,0.119231577,3.847366052
PRRE,Cederberg,8,49,1119.977781,55,1.091104,0.540081784,0.063654045,5.84E-06,125780.5363,0.977,11.5432506,4.206581956,0.527487828,21.88344448,0.047066667,5.401145,0.030456505,9.167784513,0.647092878,0.060833333,35.62974857,0.131854813,2.744092644
PRRE,Cederberg,7,52,1531.526419,50,1.026511,0.590378731,0.3656535,3.56E-05,154702.609,0.9055,15.07072235,5.638198128,0.604010193,24.951106,0.03915,5.31347,0.031617756,11.42488628,0.807605517,0.0625,29.34214589,0.114617757,2.672967854
PRRE,Cederberg,8,51,1885.74099,56,1.230755,0.618090434,0.143622695,1.17E-05,148443.1423,1.008,12.06114231,4.675345952,0.509915134,23.65323464,0.050983333,5.667355,0.030966827,11.99475738,0.607391184,0.055,34.5818148,0.10460999,2.579732587
PRRE,Cederberg,7,47,1808.77197,26,1.35096,0.636722454,0.266123052,1.97E-05,177678.9525,0.559,13.16902171,4.767078031,0.560607632,23.49062153,0.0484,6.646425,0.032799588,12.58481161,0.677677438,0.056666667,35.1057817,0.112728566,2.762493424
PRRE,Cederberg,9,48,2443.373686,45,1.216483,0.515565388,0.917406867,7.54E-05,154084.8883,0.934,12.66642684,5.711022226,0.91489052,13.84474597,0.051583333,6.372675,0.031227075,14.04294503,0.605371409,0.049166667,47.68098708,0.115262164,2.217891358
PRRE,Cederberg,7,53,1633.62818,31,0.908513,0.661074131,0.077064856,8.50E-06,125408.3587,0.861,13.82599807,6.145969197,0.968274479,14.27900701,0.038316667,5.603235,0.030161148,10.39662161,0.787154791,0.048333333,42.44131816,0.099147635,2.249604192
PRRE,Cederberg,8,54,2042.035225,65,1.291777,0.597872048,0.6095479,4.72E-05,140040.9148,1.29,10.84095055,4.714788625,0.608797086,17.80716564,0.044933333,7.622455,0.033453789,15.7211354,0.744520532,0.05,40.34545058,0.100863626,2.299350281
